index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,index
1,0.4934904471280048,-0.20855581609243787,-0.7756812743715898,0.6538276653786477,-0.462871881611253,0.3927433558110899,-1.4113652182364378,-1.4529723100469374,0.3629138279130205,0.011928797427952357,-1.034954589021726,-0.9052215589544106,-0.7495101375743188,-0.6238661523146887,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
5,0.26560138053569204,-0.0758910253988807,-0.7858813291625188,0.46779234036985134,-0.641171396958381,-2.095073018768676,-1.004156373412551,2.111833680332271,-0.6570201389584799,0.4971688412070249,-0.22982254280511744,-0.21085492184825105,-0.13852057496112874,-0.44126830239415177,5
6,-1.311054916614891,1.190043542614678,-0.08453860962054788,-0.28264818379326895,-0.00895683850630959,-0.001383082429315989,-0.0002678804541944037,-3.6839991860275967e-07,-0.00020181165393572446,-0.00013167573133116654,-0.0025196374393544447,-0.0011102309328803297,-2.260506992601609e-05,-1.1406551999071864e-05,6
8,-2.0613113690363813,0.5886726143664835,-2.5956135858088443,-0.22895031067573066,2.110801214446175,-0.24011451725884042,1.5355039599606854,-0.16853158521174208,0.023790099680396602,-0.8938647724525565,-0.48734096404477717,-0.4816950717471087,-0.18686589743379226,-0.04215374912089373,8
10,-0.7497222726528587,-1.2732924816006614,-0.819241685251432,-0.19530517260305774,0.10393918506640305,-0.3802312960077137,3.3783562715496283,-0.09826658147304311,-0.07755663127568611,-0.3525222394309808,-0.051232596541020366,-0.020876873745367223,-0.014676930247869766,-0.02743902908071464,10
11,-0.17488078913726252,0.4733730392712558,-0.009407482598788028,-0.1519264139231416,0.6338284665299067,-0.13904196275871725,-0.07630299265688363,-0.00028121457818438097,-0.04493500971762743,-0.054089612902432034,-0.01748719430686694,-0.007979544467496016,-0.006211402374058679,-8.327860873756328e-05,11
12,2.127883253456903,-0.8982318226662845,-1.6921621386017502,-0.11377110731892802,-0.32268929529803186,-0.38218064826334885,-0.07776105897002061,-0.04144298963430846,-0.14161166170139647,-0.15736767782281155,-0.0724930674366439,-0.14625418622736733,-0.008414856615454215,-0.007117650013785948,12
14,-1.292920428630145,0.5612416356366882,1.8587549013620281,-0.3322417500060714,-1.7410040333794452,0.7054758567393348,-0.2644210402035007,-0.18812821166794821,-0.27696547751484885,-0.20705921639770924,-0.09071477265190747,-0.033969501758444993,-0.1050533226516971,-0.026915046578778905,14
15,-1.0827955655525654,-0.7477180820673284,-0.5142260445713138,1.9412644095385392,-0.41446694080786134,-0.17777234035644987,-0.32952162883172925,-0.1014622510116201,-0.06066523808495672,-0.08475310409021194,-0.2061287713530728,-0.018164600712210453,-0.03017937337657997,-0.08384400635530215,15
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
17,1.130964384636853,0.5929002756566024,-0.4981510395440732,-0.7557976911142934,1.7207082451367963,-1.2710589368090488,-0.059687387951069724,-0.6949214812205663,-0.3962717189294672,-0.6447710099042843,-0.3513514012672512,-0.05242054364773698,-0.3908110079964641,-0.004875839790339344,17
19,0.8325910774270856,-1.377459936666454,1.545281747810831,-1.0393810005292126,-0.46793783075490375,-0.3018059695734219,-0.17064064660152817,-0.1569047109408041,-0.30721329099125944,-0.34667135781552033,-0.4104659617370114,-0.29082871829178275,-0.04541759168634349,-0.04004688416519395,19
20,-1.3018499343323569,0.8591281679057465,-0.5663940485360158,-0.15643483157935956,-1.1984229209151955,-0.2627333019634556,2.157110516900785,-0.007426050158053329,-0.12097240137558048,-0.09327815795570468,-0.09712033310925325,-0.1082429962919648,-0.10411472142111072,-0.0047558181552628115,20
21,0.4070521493072765,1.5344552835197014,-0.9582542858329356,-1.9226422463300645,-0.18086046614305576,0.2711398164125961,-0.47906864017171913,-0.3033098768840748,-0.11261533383245687,-0.6013519957273662,-0.28606435172551714,-0.13003209533233656,-0.07782298028964571,-0.04652500491687153,21
22,-0.5083905824960846,3.59906215681136,-0.47266483889663025,-1.7249614799420485,-1.1955575516414387,-0.1833803278275731,-0.21632723578369173,-0.0014014422744733164,-0.021260855451004326,-0.01991442206662682,-0.039145996259630375,-0.02369126615488428,-0.0071323248887922444,-0.010443754178955995,22
23,5.7815520320724945,-2.9915945252265996,-2.7019444949944966,-0.934511786879137,-1.8754302348857284,-1.6514083442525664,-1.634288627364899,-0.496241953058159,-0.5317749158907624,-0.7484453474488839,-0.616150136115814,-0.5972557668294818,-0.19251306416449787,-0.3433510279193598,23
24,-0.16796844601368263,-0.9888474515433647,-0.0013588456629087052,0.38315743537768093,-0.00045802594419763905,-0.00030449801082199537,-3.554529464760108e-05,-8.824570554032045e-07,-7.972076102292883e-06,-2.618379316182921e-06,-1.2934576129532737e-06,3.1895583416545522e-06,-2.621803161424932e-06,7.386573417527587e-07,24
25,-0.21688903320443484,2.1464363641323922,-0.5835276739071052,-0.010035277498270106,-0.28542701445762797,-0.8074170097208775,-0.6653465846396609,-0.2540133064519748,-0.006315030666607449,-0.0991835389856998,-0.012752847384971363,-0.003864407355872565,-0.0014314044888794944,-0.014087494869145165,25
29,1.9661819981676818,-0.8632313495801816,-0.01955968703041922,-0.8509940650317529,-0.0016813967968418043,-0.27413003659630003,-0.0004439351895642368,-0.0003602933039589318,-0.00022900515931848967,-0.013438278562608022,-0.00273283496542721,-6.521464095921336e-07,-6.2139101922992445e-06,-5.435777790748614e-05,29
32,-0.2823377482322477,-0.7418046483042832,-0.722471566894521,-0.02228401076643579,-0.07495748465499398,2.360172211209507,-0.05606546364949909,-0.18832353023106543,-0.03895685145580757,-0.5339979845635651,-0.08467681326811934,-0.02574243109933016,-0.009103786550519707,-0.013842366878985803,32
35,0.8875539429227832,-2.648919780865566,-0.013964945241304271,-0.0024570176508428186,1.9035269731185942,-0.003836123852078942,-0.21521289746390893,-0.0002005570411203164,-0.00025241874989019375,-0.00022351682849329374,-0.00538972261225169,-0.00028640437275812057,-0.00048095351623960006,-2.0823170448260124e-05,35
37,-0.04256270882288212,0.5928676089065015,-0.1255600164660908,-0.0010266147492194178,-0.00011180796220238932,-0.12279128241610118,-1.147681371247637e-05,-0.09678455506811347,-5.558946184889838e-06,-0.038605752044834504,-8.731245867798422e-05,4.297181014985608e-07,-5.348805713659619e-05,-3.359035828961667e-07,37
38,0.14116820827664917,0.5880546567916908,-0.14191813438931872,-0.2848275799149202,-0.05322242704070884,-0.2252918220359663,-0.06375606722572362,-0.10614326680458887,-0.06190989972407238,-0.01860130788117633,-0.0046707479639929595,-0.004358344647560382,-0.002064774404289826,-0.022994022392564623,38
39,-2.753474891320732,-0.5855367543059604,-1.8474626025638674,5.254882137782604,-1.5217519445912586,-0.847037311900747,-0.6938487954264292,-0.9177478224166947,-0.2886140499432049,-1.2662173552378457,-0.8067092723471266,-0.22207403809506926,-0.16896026132740868,-0.24861612164827354,39
42,-0.300235716290472,1.7427782149409308,-0.1140407678011003,-0.6811986498083766,-0.7971340772161741,-0.021915456156433002,-0.06546931379981538,-0.0012352858698502704,-0.0033634646703764085,-0.014098580000491965,-0.003267381792593558,-0.0009736743756694264,-0.00020190348937205194,-0.0004638325378769488,42
44,-0.2334912611406903,1.773994072096276,-0.45000746125786234,-0.0021233207452609976,-0.0007055327006658849,-0.006271375693538062,-0.0036252318416459635,-0.46632971991382055,-2.197715775326385e-05,-0.0006257852791452729,-0.0003776993644835585,1.564346747877371e-06,-9.643811010783604e-05,-3.322524836185896e-07,44
49,-1.9026107197183562,3.400340849160814,-1.2688689990682935,-0.013389063746621292,-0.037774007833938444,-0.20372553274426206,-0.04472980172699212,-0.039737552107479146,-0.059688152388571794,-0.45247760248505126,-0.1171110329536574,-0.07275427124440344,-0.0023993179135082445,-0.014062318211019099,49
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
51,-2.3200534197838025,-0.517196147854414,-3.04497933873702,-1.198630898577705,-1.4581148984371586,-0.29409608183759045,1.3058420902760715,1.681038916464273,5.531693090316702,-2.241436715796949,-0.15297740597832998,-0.4508757907542208,-0.17225004245836317,-0.028913406086279226,51
54,2.434304409680766,-1.1844855545027981,-0.034690215499210544,-3.190761109131915,-0.03374240356332129,-0.20583584726427978,-0.0030030861509170244,-0.0002352902204787568,-0.1046916450586257,-0.0470538375454868,-0.0029495944940670614,-0.010185895165008755,-0.004739535075348583,-0.0017639812370071311,54
56,-1.0142953896807483,-0.9421990171342971,5.020988317920508,-0.19346642419392007,-0.16409941782390547,-0.7388551130614195,-0.10620910310674068,-0.08012697514970255,-0.36569324290292005,-0.5928036892210348,-0.09050785017332454,-0.018718709390286428,-0.030443367109853132,-0.003155505120494897,56
57,1.0953631197479972,-0.11704013149038676,-0.0016173853652316603,-0.013771051984331045,-0.022703588049813976,-0.0004215054849929501,-0.015511322429932603,-0.00017967535065002276,-0.00012218032787805077,-0.0005195727516703093,-0.03789020972273483,-1.8214077205410083e-05,-0.004149383746195596,-4.0879008702149704e-06,57
58,-0.1729058218960905,2.1156960495391655,-0.2423358052919581,-0.016287132453738265,-1.0481147884154638,-0.30968290116666414,-0.1303358020008735,-0.0012282828422874542,-0.011893903120782371,-0.03659840281611377,-0.006748529522909604,-0.008579843336945845,-0.0008577092860124075,-0.006025152205396034,58
59,3.289982639614358,-1.412255831841369,-0.7360509018295871,-0.4756517153911827,-0.507236036285142,-0.4366470829337306,-1.1561629354398875,-0.3828372850291555,0.6659330193073935,-0.35329215104628847,-0.1141239835979801,-0.008800532288519023,-0.12705857420455624,-0.0022835662034153053,59
65,4.2073315295200215,-1.9519788560875537,-1.1097856343387427,-0.7119630789037126,-0.47176317411792573,-2.092042409192206,-0.06404804885620301,-0.05170051902822765,-0.4407696387374828,-0.6292080323409706,-0.028800150558995784,-0.04444342253194888,-0.014506565025276766,-0.025045765399577067,65
68,1.8761301671734227,-1.4078156865033504,-0.7233247010996886,-0.9025784678100326,-0.2166398615329801,-0.36777980970319324,-0.007596647242375441,-0.0010260958743180616,-0.027251878840229598,-0.019014322919548576,-0.01963043524834371,-0.027876453513609324,-0.003789093663136681,-0.003921573377597947,68
69,-1.8076564987790436,-2.19660560626701,4.230667319702962,-0.31841312212495665,-0.506085357543609,-0.6635918429866112,-0.26355185446115964,-0.1369793150751136,-0.21114666832561318,-0.5469994150252976,-0.18598014715644978,-0.19723147013786044,-0.032014244797933133,-0.029459170417458342,69
71,3.092978386378813,-3.8580764831358643,0.4005378601594239,-0.7861958439675041,-0.6820171028591119,-1.3108091737764018,-0.4112097744409615,-0.06496073043364231,-0.6386202392158508,-0.5266746618773785,-0.15625784915423746,-0.22160374523613316,-0.022463886963432655,-0.0910110119095833,71
73,-1.5430886002258992,-0.5376575564326055,-0.0047404027349677545,2.697997656735573,-0.00925016420358184,-0.039451410863060414,-0.00027708968682143735,-0.002296594391378823,-0.0008650563385743868,-0.007331388281322235,-0.0009139980873079225,-9.483884370866171e-05,-0.003215570496691904,-0.00036921760573484767,73
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
78,1.47387221196745,-0.49651889862855936,-0.5775229415550805,-0.13458342089211867,-0.5816552175140023,-0.04870458891121701,-0.47496196012895475,-0.01721676109388873,-0.004660778095296211,-0.03022102021389615,-0.01898757714053315,-0.030397219346065044,-0.05417089744406263,-0.06917767639631918,78
79,5.01197185932507,-3.1790477550459735,-2.1261632648850637,-1.3784171752257888,-1.10437409941496,-1.6880632510718094,-0.290441186842553,-0.2956112442915864,-0.5294726632174676,-1.1094169201229405,-0.6963520169720404,-0.32360738711727144,-0.10557968971991563,-0.1740202318320338,79
80,-4.16619226967013,4.167876512770571,-0.6358095611813157,-1.1174360492772277,-2.2948237135320233,-1.5538840471957207,-1.235686252101361,-0.42553717212116715,-0.8631395975031895,-1.0683576319684092,-0.410986843430794,-0.5895837990091333,-0.20243746751993333,-0.295957074070873,80
81,-2.3408081483599643,-0.26855476743148715,-1.360013568199282,-0.35722155249166865,-0.7096447627940543,3.512107264487954,-0.3091843238665448,-0.23692739259874196,-0.18326702112312285,-0.5993982692553106,-0.04879839454898159,-0.09723360355483684,-0.06570472940159428,-0.12194538937926759,81
83,-2.368210056985036,-2.563441122956314,-0.38991086602576397,-0.762743695758524,-2.0388436042047773,4.304306053300953,1.9394451637828933,-0.4380158543064555,0.4508840796546448,-0.24693173276891084,-0.11845311673377742,-0.05167396888681803,-0.1827337429862972,-0.09616101979593834,83
84,1.837387057470617,-0.2158144342256448,-1.9094787453143793,1.2677080321099405,-1.3918247899472618,-1.8482330774108375,0.3409280283933929,-0.6823104408139314,-0.9079250878414621,-1.3555828498830558,-0.7263340458943034,-0.2912301157443498,-0.4992217970302942,-0.2688194241979133,84
85,-2.1689196658491325,-0.44364344221957486,-0.8523372467407164,1.5747553462260806,0.6863678827513421,-0.6951463395535329,-0.4170123894075639,3.52867316248848,0.14826245280913444,2.35471155517807,2.3104168297527017,-0.7525346252299155,2.1366432708211494,-0.49177501438177557,85
86,0.22426923748679087,0.6900625014377829,-1.6368283146406408,-1.3039354052174141,-1.4031645902112246,1.3104163804321387,-0.4378355033745629,1.5890585338668701,-1.773577172577942,-2.08287706653113,-0.4624297462838897,-0.8927473778747126,2.2004763743214952,-0.4286441556468549,86
87,0.352251878761595,-1.8381154465474203,0.5427319469926526,0.2907115944455298,0.8769524839987423,-0.219085893869425,0.8501196962222376,-0.43378154021169657,-1.0259642873648778,-0.8782404372769741,0.2572945828255336,-0.39498802511177666,2.897656429400117,-0.24230826380637954,87
88,3.1632997344732203,-1.4168673155223415,-2.6411614522703437,-1.661230529273836,-0.11642557140454603,-0.5385125870067907,-1.1004755055367164,-0.3490885109714501,-0.536216395193782,-0.8598619233888887,-0.5403505638213772,-0.3732554509857258,-0.6494659345039048,-0.27553680294763694,88
89,-1.0140025242767094,-1.7396010757337894,-1.8870831510627384,0.5681760691395585,2.759246174594272,-0.8886448750349975,0.43213328930103373,-0.1866014045161033,0.8693583689250435,-0.48061792834314354,-0.27660159548239904,-0.31122146293007413,-0.22999261524492975,-0.09069418131124839,89
90,0.21194477303330123,-0.7690602450504215,-0.7479360192101455,-1.2973695863721264,0.665119002359696,-0.6727254820416504,2.87995305179149,-0.4491222910934907,-0.08845522397118494,-0.6366800417408834,-0.2602482544822257,-0.049061692747712105,-0.2652856779204426,-0.03818715759880686,90
91,-0.7538931014990222,1.1752700708218509,-0.504261155740733,-0.08086180189745498,-0.13298052356711773,0.45367397161072837,-0.7475504854110454,-0.40361388631619655,-0.029743424424445428,-0.02355323959076821,-0.08379798117839676,-0.0999552056850533,-0.17468012094990784,-0.005160142771836003,91
92,-1.9098942431778487,0.8202445255437409,-2.9687272594411094,0.8228294354359081,-1.5505086995062836,1.303201507783847,2.160702727354698,2.0973002995794694,-0.36514202393083567,-1.5375617845767455,-0.838090991381793,-0.38009632795548665,-0.8328156369388588,-0.11651530931642613,92
93,0.01394047447829957,-1.1713168923982686,-0.3907682554392268,-0.023555143813995198,1.093780667233584,-0.05504796929820641,-0.11567085185665836,-0.003392805785449149,-0.006997165242556256,-0.018882500545103112,-0.00417592734457264,-0.01571457401917294,-0.001065182274133675,-0.01884345786319995,93
94,-1.2293240954329046,-1.5951807379218113,-1.1565135661073398,-0.037132145009461576,0.8570063850375816,0.35357100322866203,-0.2890091317387285,-0.05481649085117192,-0.022680778234461834,-0.23160835103647076,-0.02104001357485202,-0.046559286664586017,-0.004627247876611026,4.4969862288201625,94
